"property_id","photo_urls"
"1026005548","[""http://ar.rdcpix.com/dc6c7c85a47ed6a3fa8c8ecaae938cd5c-f3919323282s.jpg""]"
"1026346996","[""http://ap.rdcpix.com/7132f600354220aedfafe45ad23d1745l-m861502700s.jpg""]"
"1026385484","[""http://ap.rdcpix.com/d53a4121636215cae92ef24489a277fal-m2578344066s.jpg""]"
"1026650472","[""http://ap.rdcpix.com/61a4dea12027d7b4ec6de7b2ccb081b7l-m999941013s.jpg""]"
"1026881314","[""http://ap.rdcpix.com/fba9b617f47967acecc918a801916a19l-m2874962894s.jpg""]"
"1026913689","[""http://ap.rdcpix.com/5fa7029bb8cd70387fbd3da0204b2191l-m3196941857s.jpg""]"
"1027129396","[""http://ap.rdcpix.com/77155cf3a8854ef8678e361e222ee048l-m3075137913s.jpg""]"
"1027523426","[""http://ap.rdcpix.com/ce7a30eec6c59c0e226f7905cd5c9e31l-m595087569s.jpg""]"
"1027531985","[""http://ap.rdcpix.com/8ffd52490685a5b1c69fbc2877763a5dl-m2325723703s.jpg""]"
"1028025185","[""http://ap.rdcpix.com/9c8b67049f721aecef475e42b2ac8206l-m591025809s.jpg""]"
"1028696155","[""http://ap.rdcpix.com/7638a5f96edb0dead6e5fb00843987a5l-m433369434s.jpg""]"
"1028719420","[""http://ap.rdcpix.com/271abb75d35161a063d7f9dd8d41792el-m1270058053s.jpg""]"
"1028743570","[""http://ar.rdcpix.com/55aa6feb67a62b36cf4d3e12b747f84fc-f2377945362s.jpg""]"
"1029058147","[""http://ap.rdcpix.com/40c31b1069a90a22c6c5adab42b2abe5l-m2796867725s.jpg""]"
"1029358720","[""http://ap.rdcpix.com/95a96ef475e66ab306e0c7c7971cbc84l-m2560066170s.jpg""]"
"1029380394","[""http://ap.rdcpix.com/3a67306d187bf03f2ad56d2853b2ec2cl-m600670353s.jpg""]"
"1029681151","[""http://ap.rdcpix.com/ee7766aab29b53569ec3f66db16f694al-m1613086385s.jpg""]"
"1029837398","[""http://ap.rdcpix.com/5a665d04decb311024bb9e7a8275ab72l-m2097867898s.jpg""]"
"1030582717","[""http://ap.rdcpix.com/7279634d87a2fb088f90dcf65d6f6469l-m2767781515s.jpg""]"
"1030806313","[""http://ap.rdcpix.com/ebd6bd0574e571bb4b8b84c55dd2bc05l-m261117614s.jpg""]"
"1031000347","[""http://ap.rdcpix.com/7ce510e15eea9d265fe79fbaba1f6737l-m2857460962s.jpg""]"
"1031101292","[""http://ap.rdcpix.com/4f49c92f26fc5424fc6838e365089865l-m673799289s.jpg""]"
"1031324032","[""http://ap.rdcpix.com/b0a6ec0057829ceedca159234870f1a3l-m4225456524s.jpg""]"
"1032137555","[""http://ap.rdcpix.com/8f2f7d726b447b6be7629425cf70641dl-m426753490s.jpg""]"
"1032387287","[""http://ap.rdcpix.com/7c26243500b685048e9343930c7001d3l-m3829729304s.jpg""]"
"1032499085","[""http://ap.rdcpix.com/95cff674176f319fa0a648cf99f4615bl-m786807653s.jpg""]"
"1032677315","[""http://ap.rdcpix.com/b2a54b7456a7ccc92a0ca28e56844929l-m3809411111s.jpg""]"
"1032981555","[""http://ap.rdcpix.com/fcf416b8588cebce8385a6a91133db44l-m2190099041s.jpg""]"
